time Optional[local:ss-10000] 
0.0 0.0 
1.368 3511.0 
2.402 9284.0 
3.409 9607.0 
4.411 10354.0 
5.413 9780.0 
6.415 9605.0 
7.416 9915.0 
8.417 8941.0 
9.418 10264.0 
10.419 10239.0 
11.419 10575.0 
12.421 9580.0 
13.421 9640.0 
14.422 9950.0 
15.422 10600.0 
16.423 9340.0 
17.424 9640.0 
18.425 9915.0 
19.426 10289.0 
20.426 10000.0 
21.427 9965.0 
22.428 9665.0 
23.428 9975.0 
24.428 9675.0 
25.43 10279.0 
26.43 10300.0 
27.431 9640.0 
28.433 9331.0 
29.54 8739.0 
30.541 10614.0 
31.542 9990.0 
32.542 10600.0 
33.543 10289.0 
34.543 10000.0 
35.548 9626.0 
36.55 9980.0 
37.552 9655.0 
38.553 9990.0 
39.554 9990.0 
40.555 9990.0 
41.556 9990.0 
42.557 9990.0 
43.558 9990.0 
44.559 9990.0 
45.561 9980.0 
46.562 9990.0 
47.562 10000.0 
48.564 10603.0 
49.564 10000.0 
50.566 10603.0 
51.567 9990.0 
52.567 9675.0 
53.568 10614.0 
54.57 9655.0 
55.571 9990.0 
56.625 9487.0 
57.627 9980.0 
58.628 9990.0 
59.628 10000.0 
60.629 9990.0 
61.629 10000.0 
62.63 10614.0 
63.631 9990.0 
64.632 9990.0 
65.633 9990.0 
66.634 9990.0 
67.635 9990.0 
68.635 10000.0 
69.635 10000.0 
70.636 9990.0 
71.636 10000.0 
72.638 9980.0 
73.639 9990.0 
74.64 9990.0 
75.64 10000.0 
76.641 9990.0 
77.642 9990.0 
78.643 9990.0 
79.643 10000.0 
80.644 9990.0 
81.644 10000.0 
82.645 9990.0 
83.648 9970.0 
84.649 9990.0 
85.65 9990.0 
86.651 9990.0 
87.652 9990.0 
88.652 10000.0 
89.653 9990.0 
90.653 10000.0 
91.653 10000.0 
92.655 9980.0 
93.655 10000.0 
94.656 9990.0 
95.657 10614.0 
96.657 10000.0 
97.657 10000.0 
98.659 9980.0 
99.659 10000.0 
100.66 9990.0 
101.66 10000.0 
102.663 9970.0 
103.664 9990.0 
104.665 9990.0 
105.666 9990.0 
106.666 10000.0 
107.668 9980.0 
108.668 10000.0 
109.669 9990.0 
110.672 9970.0 
111.674 9980.0 
112.675 9990.0 
113.676 9990.0 
114.677 9990.0 
115.677 10000.0 
116.678 9990.0 
117.678 10000.0 
118.679 9990.0 
119.68 9990.0 
120.681 9990.0 
121.682 9990.0 
122.683 9990.0 
123.683 10000.0 
124.684 9990.0 
125.684 10000.0 
126.685 9990.0 
127.686 9990.0 
128.687 9990.0 
129.688 9990.0 
130.688 10000.0 
131.689 9990.0 
132.69 9990.0 
133.69 10000.0 
134.691 9990.0 
135.691 10000.0 
136.692 9990.0 
137.693 9990.0 
138.694 7492.0 
139.695 9990.0 
140.696 9990.0 
141.696 10000.0 
142.696 9990.0 
143.698 9990.0 
144.699 9990.0 
145.7 9990.0 
146.7 10000.0 
147.701 9990.0 
148.701 10000.0 
149.702 9990.0 
150.702 10000.0 
151.704 9980.0 
152.707 9970.0 
153.707 10000.0 
154.709 9980.0 
155.71 9990.0 
156.711 9990.0 
157.712 9990.0 
158.714 9980.0 
159.714 10000.0 
160.715 9990.0 
161.716 9990.0 
162.717 9990.0 
163.718 9990.0 
164.72 9980.0 
165.72 10000.0 
166.72 10000.0 
167.721 9990.0 
168.721 10000.0 
169.721 10000.0 
170.723 9980.0 
171.724 9990.0 
172.725 9990.0 
173.726 9990.0 
174.727 9990.0 
175.727 10000.0 
176.728 9990.0 
177.728 10000.0 
178.729 9990.0 
179.729 10000.0 
180.73 9990.0 
181.73 10000.0 
182.731 9990.0 
183.732 9990.0 
184.734 9980.0 
185.734 10000.0 
186.735 9990.0 
187.736 9990.0 
188.737 9990.0 
189.737 10000.0 
190.738 9990.0 
191.739 9990.0 
192.74 9990.0 
193.74 10000.0 
194.741 9990.0 
195.742 9990.0 
196.743 9990.0 
197.743 10000.0 
198.744 9990.0 
199.744 10000.0 
200.744 10000.0 
201.745 9990.0 
202.746 9990.0 
203.747 9990.0 
204.747 10000.0 
205.749 9980.0 
206.749 10000.0 
207.75 9990.0 
208.752 9980.0 
209.753 9990.0 
210.754 9990.0 
211.755 9990.0 
212.756 9990.0 
213.756 10000.0 
214.757 9990.0 
215.757 10000.0 
216.758 9990.0 
217.758 10000.0 
218.759 9990.0 
219.76 9990.0 
220.761 9990.0 
221.761 10000.0 
222.762 9665.0 
223.763 9990.0 
224.763 10000.0 
225.763 10000.0 
226.764 9990.0 
227.765 9665.0 
228.767 9980.0 
229.768 9990.0 
230.768 10000.0 
231.769 9665.0 
232.769 9675.0 
233.769 10000.0 
234.77 9990.0 
235.771 10614.0 
236.771 10000.0 
237.772 9990.0 
238.772 10000.0 
239.773 9990.0 
240.773 10000.0 
241.774 9665.0 
242.774 10000.0 
243.774 10000.0 
244.775 9990.0 
245.776 10289.0 
246.777 9665.0 
247.777 10000.0 
248.778 9665.0 
249.779 7492.0 
250.78 9990.0 
251.78 10000.0 
252.78 10000.0 
253.781 9990.0 
254.782 9990.0 
255.783 9990.0 
256.784 9990.0 
257.785 9990.0 
258.786 9990.0 
259.786 10000.0 
260.787 9990.0 
261.788 9990.0 
262.789 9665.0 
263.789 9675.0 
264.79 9340.0 
265.79 10625.0 
266.79 10000.0 
267.791 9665.0 
268.792 9990.0 
269.793 10289.0 
270.794 9640.0 
271.794 10600.0 
272.795 9665.0 
273.795 9650.0 
274.796 9965.0 
275.797 9665.0 
276.797 9350.0 
277.803 9940.0 
278.803 10925.0 
279.804 10264.0 
280.804 10300.0 
281.805 10239.0 
282.805 9950.0 
283.806 9315.0 
284.807 9965.0 
285.808 9940.0 
286.808 9950.0 
287.809 10553.0 
288.811 10264.0 
289.812 9965.0 
290.813 9665.0 
291.814 9940.0 
292.814 9675.0 
293.814 9950.0 
294.815 10264.0 
295.816 9940.0 
296.817 9940.0 
297.818 9290.0 
298.819 9340.0 
299.82 9965.0 
300.82 10275.0 
301.82 9950.0 
302.821 9640.0 
303.821 10300.0 
304.822 10264.0 
305.824 9655.0 
306.825 11213.0 
307.826 10239.0 
308.827 9640.0 
309.827 9675.0 
310.828 10589.0 
311.828 10250.0 
312.829 9665.0 
313.829 9025.0 
314.83 9965.0 
315.831 9965.0 
316.832 10614.0 
317.833 10289.0 
318.834 10264.0 
319.835 10239.0 
320.836 10214.0 
321.836 9975.0 
322.837 9665.0 
323.838 9615.0 
324.839 9265.0 
325.84 10864.0 
326.841 9615.0 
327.842 9340.0 
328.843 10264.0 
329.844 9315.0 
330.844 8975.0 
331.845 10289.0 
332.846 11813.0 
333.847 10264.0 
334.847 9000.0 
335.848 9640.0 
336.849 10264.0 
337.85 11213.0 
338.851 9015.0 
339.853 9955.0 
340.853 10275.0 
341.855 11477.0 
342.857 9980.0 
343.857 9975.0 
344.858 9665.0 
345.86 9306.0 
346.86 9975.0 
347.861 9640.0 
348.863 9955.0 
349.864 9640.0 
350.865 10589.0 
351.866 9665.0 
352.868 9930.0 
353.869 9640.0 
354.87 9990.0 
355.87 9675.0 
356.871 10239.0 
357.871 10600.0 
358.873 9630.0 
359.873 9650.0 
360.875 10603.0 
361.876 9940.0 
362.877 10589.0 
363.878 9965.0 
364.879 9640.0 
365.88 9340.0 
366.881 10289.0 
367.882 9665.0 
368.883 9340.0 
369.884 10914.0 
370.885 9665.0 
371.886 11213.0 
372.887 9340.0 
373.889 10578.0 
374.89 9940.0 
375.891 9990.0 
376.892 9665.0 
377.894 10254.0 
378.895 9990.0 
379.896 9990.0 
380.896 9025.0 
381.897 10614.0 
382.897 10625.0 
383.898 9315.0 
384.898 9650.0 
385.899 10289.0 
386.899 9675.0 
387.9 9665.0 
388.901 10614.0 
389.902 9990.0 
390.903 9665.0 
391.903 10300.0 
392.904 9340.0 
393.905 10614.0 
394.906 10614.0 
395.907 9665.0 
396.908 9990.0 
397.91 9980.0 
398.911 9990.0 
399.911 9675.0 
400.912 10614.0 
401.913 9990.0 
402.914 9965.0 
403.915 9965.0 
404.915 10000.0 
405.915 10000.0 
406.917 10279.0 
407.917 9975.0 
408.918 9990.0 
409.92 9980.0 
410.921 9665.0 
411.922 10289.0 
412.922 10000.0 
413.923 9665.0 
414.923 10000.0 
415.923 10625.0 
416.924 9990.0 
417.925 10289.0 
418.926 9990.0 
419.926 10000.0 
420.926 10000.0 
421.927 10289.0 
422.929 9980.0 
423.929 10000.0 
424.93 9990.0 
425.93 10000.0 
426.931 9990.0 
427.931 9675.0 
428.933 9980.0 
429.934 9990.0 
430.955 7345.0 
431.956 12487.0 
432.956 10625.0 
433.958 7160.0 
434.959 9990.0 
435.96 9990.0 
436.961 9990.0 
437.961 10300.0 
438.961 10000.0 
439.962 9990.0 
440.963 9990.0 
441.964 9990.0 
442.965 9990.0 
443.966 9990.0 
444.967 9990.0 
445.968 9990.0 
446.969 9990.0 
447.969 10000.0 
448.97 9990.0 
449.971 9990.0 
450.972 9990.0 
451.973 10614.0 
452.974 9990.0 
453.974 10000.0 
454.976 9980.0 
455.977 9990.0 
456.978 9990.0 
457.979 9990.0 
458.98 9990.0 
459.981 9990.0 
460.982 9990.0 
461.983 9990.0 
462.984 9990.0 
463.985 9990.0 
464.985 10000.0 
465.986 9990.0 
466.987 9990.0 
467.988 9990.0 
468.989 9990.0 
469.99 9990.0 
470.991 9990.0 
471.992 9990.0 
472.993 9990.0 
473.995 9980.0 
474.996 9990.0 
475.996 10000.0 
476.997 9990.0 
477.998 9990.0 
478.999 9990.0 
480.0 9990.0 
481.001 9990.0 
482.002 9990.0 
483.004 9655.0 
484.005 9990.0 
485.005 10000.0 
486.005 9675.0 
487.006 9990.0 
488.006 10000.0 
489.008 10603.0 
490.009 9990.0 
491.01 9990.0 
492.011 9990.0 
493.011 10000.0 
494.012 9990.0 
495.013 9990.0 
496.014 9665.0 
497.015 9990.0 
498.017 9980.0 
499.018 9340.0 
500.019 9990.0 
501.019 10000.0 
502.02 9665.0 
503.021 9990.0 
504.023 9655.0 
505.023 10000.0 
506.024 11238.0 
507.025 9665.0 
508.026 9990.0 
509.027 9990.0 
510.027 10000.0 
511.028 9990.0 
512.029 9990.0 
513.03 9990.0 
514.031 10289.0 
515.032 9665.0 
516.033 9990.0 
517.034 9990.0 
518.036 9980.0 
519.037 9990.0 
520.039 9655.0 
521.039 9675.0 
522.04 9990.0 
523.041 9990.0 
524.042 9990.0 
525.043 9990.0 
526.044 9990.0 
527.045 9990.0 
528.045 10000.0 
529.046 9990.0 
530.046 10000.0 
531.047 9990.0 
532.048 9990.0 
533.05 10603.0 
534.051 9990.0 
535.053 9655.0 
536.053 10000.0 
537.054 9990.0 
538.055 9665.0 
539.055 10000.0 
540.056 9965.0 
541.057 9990.0 
542.059 9980.0 
543.06 10264.0 
544.06 10000.0 
545.065 9950.0 
546.066 9315.0 
547.067 9665.0 
548.069 9655.0 
549.072 9945.0 
550.078 10238.0 
551.08 10279.0 
552.085 9626.0 
553.087 9655.0 
554.088 9965.0 
555.088 9350.0 
556.092 10557.0 
557.093 10264.0 
558.095 9930.0 
559.096 10589.0 
560.097 9665.0 
561.098 9665.0 
562.104 9567.0 
563.105 9340.0 
564.105 11200.0 
565.109 10258.0 
566.112 9646.0 
567.113 9965.0 
568.116 9621.0 
569.117 10264.0 
570.122 9601.0 
571.123 9940.0 
572.124 9340.0 
573.132 10193.0 
574.136 9586.0 
575.138 10578.0 
576.139 11213.0 
577.139 10300.0 
578.143 9935.0 
579.147 9611.0 
580.148 9965.0 
581.148 9675.0 
582.152 10557.0 
583.153 9640.0 
584.164 9866.0 
585.166 9980.0 
586.166 9650.0 
587.167 10564.0 
588.167 9650.0 
589.168 9915.0 
590.173 9900.0 
591.174 9915.0 
592.178 10532.0 
593.179 9615.0 
594.182 10842.0 
595.182 9650.0 
596.183 10539.0 
597.183 10875.0 
598.186 9596.0 
599.195 9563.0 
600.196 10589.0 
601.2 9885.0 
602.203 9596.0 
603.204 9315.0 
604.206 10279.0 
605.206 9225.0 
606.211 9925.0 
607.211 11175.0 
608.213 9930.0 
609.215 9905.0 
610.216 10489.0 
611.217 9590.0 
612.228 10089.0 
613.229 10239.0 
614.23 10514.0 
615.23 9275.0 
616.231 10214.0 
617.233 10429.0 
618.234 9590.0 
619.235 10514.0 
620.236 9615.0 
621.237 9965.0 
622.237 10200.0 
623.239 9930.0 
624.241 10154.0 
625.242 9265.0 
626.246 10732.0 
627.271 9048.0 
628.272 10539.0 
629.274 10129.0 
630.275 8566.0 
631.276 299.0 
632.276 0.0 
633.276 0.0 
634.276 0.0 
635.277 0.0 
636.279 0.0 
637.28 0.0 
638.282 0.0 
639.282 0.0 
640.283 0.0 
641.283 0.0 
642.284 0.0 
643.285 0.0 
644.286 0.0 
645.287 0.0 
646.289 0.0 
647.29 0.0 
648.29 0.0 
649.291 0.0 
650.291 0.0 
651.292 0.0 
652.293 0.0 
653.295 0.0 
654.296 0.0 
655.296 0.0 
656.297 0.0 
657.298 0.0 
658.298 0.0 
659.298 0.0 
660.298 0.0 
661.3 0.0 
662.3 0.0 
663.301 0.0 
664.302 0.0 
665.302 0.0 
666.303 0.0 
667.304 0.0 
668.305 0.0 
669.305 0.0 
