SortedPeers Time
0 1023
1 1023
2 1022
3 1021
4 1021
5 1021
6 1021
7 1021
8 1021
9 1021
10 1021
11 1020
12 1019
13 1019
14 1018
15 1018
16 1018
17 1018
18 1017
19 1017
20 1016
21 1015
22 1015
23 1015
24 1015
25 1015
26 1014
27 1014
28 1014
29 1014
30 1011
31 1011
32 1010
33 1009
34 1008
35 1008
36 1008
37 1008
38 1008
39 1008
40 1007
41 1006
42 1006
43 1006
44 1005
45 1004
46 1004
47 1004
48 1004
49 1003
50 1002
51 1002
52 1002
53 1001
54 1001
55 1001
56 1000
57 1000
58 999
59 999
60 998
61 998
62 998
63 997
64 995
65 995
66 994
67 994
68 994
69 994
70 994
71 994
72 992
73 992
74 992
75 992
76 992
77 991
78 991
79 991
80 991
81 990
82 990
83 990
84 990
85 989
86 988
87 988
88 987
89 987
90 987
91 987
92 987
93 987
94 986
95 985
96 983
97 983
98 978
99 975
