time Optional[EmptySocketAddress@5f7dd794-8175-4316-98ce-b91db8240e90] Optional[EmptySocketAddress@dc50ba23-9e9d-4906-994f-f68cb6ba40a1] 
0.0 0.0 0.0 
1.002 0.0 0.0 
2.003 0.0 0.0 
3.004 0.0 0.0 
4.005 0.0 0.0 
5.006 0.0 0.0 
6.006 0.0 0.0 
7.007 0.0 0.0 
8.008 0.0 0.0 
9.008 0.0 0.0 
10.009 0.0 0.0 
11.01 0.0 0.0 
12.011 0.0 0.0 
13.012 0.0 0.0 
14.013 0.0 0.0 
15.014 0.0 0.0 
16.014 0.0 0.0 
17.015 0.0 0.0 
18.017 0.0 0.0 
19.017 1.0 1.0 
20.018 1.0 1.0 
21.019 1.0 1.0 
