time Optional[local:s-0] 
0.0 0.0 
1.003 1984.0 
2.006 3984.0 
3.008 5984.0 
4.009 7984.0 
5.011 9984.0 
6.011 11968.0 
7.012 13984.0 
8.012 15840.0 
9.013 17912.0 
10.014 19968.0 
11.015 21968.0 
12.015 23912.0 
13.015 25840.0 
14.016 27912.0 
15.016 29952.0 
16.017 31896.0 
17.018 33968.0 
18.018 35968.0 
19.018 37968.0 
20.02 40000.0 
21.02 40000.0 
22.022 40000.0 
23.022 40000.0 
24.022 40000.0 
25.023 40000.0 
26.023 40000.0 
27.023 40000.0 
28.024 40000.0 
29.024 40000.0 
30.025 40000.0 
31.026 40000.0 
32.027 40000.0 
33.027 40000.0 
34.027 40000.0 
35.028 40000.0 
36.029 40000.0 
37.03 40000.0 
38.031 40000.0 
39.031 40000.0 
40.031 40000.0 
