time Optional[local:s-0] 
0.0 0.0 
1.004 1978.0 
2.007 1994.0 
3.009 1996.0 
4.01 1998.0 
5.011 1996.0 
6.012 1984.0 
7.013 2013.0 
8.013 1856.0 
9.014 2069.0 
10.015 2053.0 
11.016 1998.0 
12.016 1944.0 
13.016 1928.0 
14.017 2069.0 
15.017 2040.0 
16.018 1942.0 
17.019 2069.0 
18.019 2000.0 
19.019 2000.0 
20.021 2027.0 
21.021 0.0 
22.023 0.0 
23.023 0.0 
24.023 0.0 
25.024 0.0 
26.024 0.0 
27.024 0.0 
28.025 0.0 
29.025 0.0 
30.026 0.0 
31.027 0.0 
32.028 0.0 
33.028 0.0 
34.028 0.0 
35.029 0.0 
36.03 0.0 
37.031 0.0 
38.032 0.0 
39.032 0.0 
40.032 0.0 
