time mean min max stdev
0 42.09090909090909 0.0 463.0 139.59975253950455
1 58.0 0.0 638.0 192.36423784061319
2 173.1818181818182 0.0 1394.0 432.94868476109684
3 412.72727272727275 0.0 1022.0 416.32633616169204
4 739.0909090909091 0.0 1150.0 497.2967835298062
5 764.1818181818181 0.0 1150.0 446.9021857592147
6 808.7272727272727 0.0 1150.0 356.6628915121647
7 858.0 0.0 1370.0 379.7380676203006
8 902.9090909090909 0.0 1277.0 328.53993807312213
9 994.0909090909091 846.0 1150.0 93.78960981415217
10 910.6363636363636 0.0 1114.0 315.51046661791514
11 757.0 0.0 1150.0 492.49284258758524
12 725.9090909090909 0.0 1126.0 404.42835077315107
13 563.2727272727273 0.0 1140.0 504.65613855556956
14 305.09090909090907 0.0 1080.0 370.37965779601194
15 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0
