time mean min max stdev
0 54.7 0.0 122.0 34.6379688909279
1 63.5 0.0 127.0 66.9348771402307
2 189.9 0.0 383.0 107.86251537129209
3 453.7 371.0 882.0 158.5406011790741
4 814.4 384.0 1128.0 238.47068303392487
5 839.7 371.0 1508.0 322.43554050038864
6 890.8 372.0 1280.0 275.823131734813
7 943.9 615.0 1358.0 271.38551914205004
8 993.3 499.0 1776.0 345.7786864455355
9 1093.7 627.0 1614.0 310.9519612773366
10 1001.8 487.0 1870.0 420.3001044227538
11 832.7 511.0 1150.0 226.77205883147656
12 798.3 255.0 1218.0 319.5924661884952
13 619.6 116.0 872.0 255.42609281138232
14 335.6 0.0 720.0 235.08636710792058
15 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0
