time mean min max stdev
0 104.72727272727273 0.0 1152.0 347.3410689535837
1 162.9090909090909 0.0 1792.0 540.3083294833524
2 336.3636363636364 0.0 3188.0 958.1723511693783
3 749.8181818181819 0.0 4164.0 1230.0703897079889
4 1490.1818181818182 0.0 5176.0 1512.7356555711785
5 2255.6363636363635 0.0 6164.0 1791.9432620888015
6 3065.4545454545455 384.0 7164.0 1871.9104873703957
7 3924.7272727272725 1152.0 8176.0 1838.3773873124687
8 4829.818181818182 2432.0 9152.0 1787.5698486035067
9 5825.454545454545 3420.0 10000.0 1766.3605726825067
10 6737.454545454545 4500.0 10000.0 1531.738121457866
11 7495.636363636364 4500.0 10000.0 1585.5199319294143
12 8222.545454545454 4500.0 10000.0 1680.5477894803446
13 8785.818181818182 4500.0 10652.0 1720.6709050938136
14 9090.90909090909 4500.0 11500.0 1814.0862964338523
15 9090.90909090909 4500.0 11500.0 1814.0862964338523
16 9090.90909090909 4500.0 11500.0 1814.0862964338523
