time mean min max stdev
0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0
2 0.005 0.0 0.05 0.015811388300841896
3 0.030000000000000006 0.0 0.05 0.025819888974716113
4 0.05 0.0 0.1 0.040824829046386304
5 0.11500000000000002 0.05 0.2 0.05296749527356902
6 0.19 0.1 0.3 0.056764621219754674
7 0.305 0.2 0.4 0.06851601597031488
8 0.37 0.25 0.45 0.053748384988657014
9 0.5 0.4 0.6 0.05270462766947298
10 0.64 0.55 0.75 0.06582805886043831
11 0.6849999999999999 0.55 0.85 0.08514693182963198
12 0.82 0.75 0.95 0.06749485577105527
13 0.905 0.8 1.0 0.05502524673073058
14 1.0 1.0 1.0 0.0
15 1.0 1.0 1.0 0.0
16 1.0 1.0 1.0 0.0
