time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           64.0                          64.0                          96.0                          64.0                          
1.001                         192.0                         157.0                         157.0                         221.0                         
2.002                         532.0                         410.0                         503.0                         442.0                         
3.003                         875.0                         657.0                         692.0                         721.0                         
4.004                         939.0                         875.0                         939.0                         878.0                         
5.005                         1000.0                        971.0                         1000.0                        1000.0                        
6.006                         1000.0                        1000.0                        1000.0                        1000.0                        
7.006                         1000.0                        1000.0                        1000.0                        1000.0                        
8.007                         1000.0                        1000.0                        1000.0                        1000.0                        
