time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           29.0                          29.0                          44.0                          29.0                          
1.002                         127.0                         92.0                          60.0                          156.0                         
2.003                         339.0                         252.0                         345.0                         220.0                         
3.004                         342.0                         246.0                         188.0                         278.0                         
4.005                         63.0                          217.0                         246.0                         156.0                         
5.006                         60.0                          95.0                          60.0                          121.0                         
6.007                         0.0                           28.0                          0.0                           0.0                           
7.007                         0.0                           0.0                           0.0                           0.0                           
8.008                         0.0                           0.0                           0.0                           0.0                           
