time                          Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           0.0                           0.0                           0.0                           0.0                           
1.002                         0.0                           0.125                         0.125                         0.125                         
2.003                         0.5                           0.25                          0.375                         0.25                          
3.004                         0.875                         0.625                         0.5                           0.625                         
4.006                         0.875                         0.875                         0.875                         0.75                          
5.007                         1.0                           0.875                         1.0                           1.0                           
6.008                         1.0                           1.0                           1.0                           1.0                           
7.008                         1.0                           1.0                           1.0                           1.0                           
8.009                         1.0                           1.0                           1.0                           1.0                           
