time                          Optional[local:s-0]           Optional[local:l-0]           Optional[local:l-1]           Optional[local:l-2]           Optional[local:l-3]           
0.0                           106.0                         0.0                           0.0                           0.0                           0.0                           
1.001                         246.0                         0.0                           63.0                          63.0                          63.0                          
2.003                         249.0                         63.0                          281.0                         281.0                         281.0                         
3.003                         215.0                         282.0                         61.0                          250.0                         250.0                         
4.005                         0.0                           249.0                         252.0                         28.0                          153.0                         
5.006                         0.0                           249.0                         89.0                          0.0                           0.0                           
6.007                         0.0                           28.0                          0.0                           0.0                           0.0                           
7.007                         0.0                           0.0                           0.0                           0.0                           0.0                           
8.008                         0.0                           0.0                           0.0                           0.0                           0.0                           
