time mean min max stdev confval
80 53436.0 45000.0 79668.0 10033.716918470443 4991.711140681119
81 54082.181818181816 45000.0 80692.0 10194.90403896164 5071.900720637185
82 54966.545454545456 45000.0 81716.0 10292.931986209142 5120.669008635493
83 56352.0 45000.0 82740.0 10235.283913990857 5091.989454820188
84 57277.454545454544 45000.0 83252.0 10305.190501525301 5126.767543004071
85 57964.72727272727 45000.0 83764.0 10321.999468038246 5135.1298982596345
86 58961.454545454544 45000.0 84728.0 10478.440536297721 5212.958347042493
87 59881.454545454544 45000.0 86264.0 10581.731014948702 5264.34471135772
88 60894.545454545456 45000.0 87288.0 10774.083463233765 5360.03884612789
89 61880.36363636364 45000.0 88312.0 10902.606140485193 5423.97807075213
90 62551.27272727273 45000.0 90240.0 11330.954391320345 5637.0786348959155
91 63454.90909090909 45000.0 91656.0 11489.088401213958 5715.749311507635
92 64347.63636363636 45512.0 91656.0 11436.02384811021 5689.350029660682
93 65308.72727272727 45512.0 91656.0 11231.535861946122 5587.618541024432
94 66352.0 45512.0 94668.0 11795.97246521032 5868.422205669937
95 67534.90909090909 46024.0 95120.0 11819.158561035936 5879.957142700956
96 68635.63636363637 50120.0 96596.0 11472.650393633785 5707.571505990966
97 69610.54545454546 50632.0 97108.0 11347.758231154172 5645.438439660819
98 70864.72727272728 51144.0 98584.0 11451.292443134173 5696.946059776237
99 71489.09090909091 51656.0 100000.0 11684.139826744162 5812.78617050378
100 72403.63636363637 53192.0 100000.0 11390.007754806204 5666.4573122895745
101 73184.0 55240.0 100000.0 11045.287864062213 5494.961331984057
102 73696.0 55240.0 100000.0 11118.894765218349 5531.580302951408
103 74796.72727272728 55240.0 100000.0 10924.726569492796 5434.982845235117
104 75938.54545454546 55752.0 100000.0 10777.260991213272 5361.619646338222
105 76817.45454545454 56776.0 100000.0 10687.338493410194 5316.883768524567
106 77836.0 59848.0 100000.0 10090.138710642188 5019.780627876082
107 78610.90909090909 60300.0 100000.0 9941.168074774165 4945.668672282848
108 79793.81818181818 60752.0 100000.0 9882.62189723134 4916.542316709986
109 80760.36363636363 61776.0 100000.0 9603.00477218175 4777.434553397879
110 81716.0 63764.0 100000.0 9280.758934483752 4617.119273313177
111 82474.54545454546 65240.0 100000.0 9038.461687296533 4496.577914814777
112 83222.18181818182 66144.0 100000.0 8879.452481073164 4417.471833526502
113 84347.63636363637 66596.0 100000.0 8798.19498843629 4377.046741354266
114 85514.18181818182 67500.0 100000.0 8436.38185264491 4197.046979007979
115 85834.54545454546 67500.0 100000.0 8433.612800735356 4195.669393076628
116 86278.18181818182 67500.0 100000.0 8416.347780577771 4187.080153997533
117 87135.27272727272 67500.0 100000.0 8289.79571631182 4124.121296955267
118 87888.36363636363 67500.0 100000.0 8383.738823135263 4170.857402501313
119 88367.63636363637 67500.0 100000.0 8331.75697284465 4144.996758502954
120 88805.81818181818 67500.0 100000.0 8383.275228908828 4170.626767285704
121 89367.27272727272 67500.0 100000.0 8318.081089901794 4138.193092643213
122 89665.81818181818 67500.0 100000.0 8369.424995998015 4163.736363412074
123 89975.27272727272 67500.0 102228.0 8693.487552080685 4324.955449481532
124 90161.45454545454 67500.0 104276.0 8998.707866839954 4476.800638849132
125 90161.45454545454 67500.0 104276.0 8998.707866839954 4476.800638849132
126 90301.09090909091 67500.0 105812.0 9248.092402809842 4600.867878998483
127 90383.27272727272 67500.0 106716.0 9402.439992798774 4677.6548354918195
128 90383.27272727272 67500.0 106716.0 9402.439992798774 4677.6548354918195
129 90605.09090909091 67500.0 109156.0 9844.667850715387 4897.66041697462
130 90651.63636363637 67500.0 109668.0 9941.877561836369 4946.02163763969
131 90785.81818181818 67500.0 111144.0 10229.985941517043 5089.3537467933975
132 90909.09090909091 67500.0 112500.0 10504.328112302523 5225.837253493452
133 90909.09090909091 67500.0 112500.0 10504.328112302523 5225.837253493452
134 90909.09090909091 67500.0 112500.0 10504.328112302523 5225.837253493452
