Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 0.0 0.0 0.0 0.0 0.0
3 0.0 0.0 0.0 0.0 0.0
4 0.0 0.0 0.0 0.0 0.0
5 0.0 0.0 0.0 0.0 0.0
6 0.0 0.0 0.0 0.0 0.0
7 0.0 0.0 0.0 0.0 0.0
8 0.0 0.0 0.0 0.0 0.0
9 0.0 0.0 0.0 0.0 0.0
10 0.0 0.0 0.0 0.0 0.0
11 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0
13 0.0 0.0 0.0 0.0 0.0
14 0.0 0.0 0.0 0.0 0.0
15 0.0 0.0 0.0 0.0 0.0
16 0.0 0.0 0.0 0.0 0.0
17 0.0 0.0 0.0 0.0 0.0
18 0.0 0.0 0.0 0.0 0.0
19 0.0 0.0 0.0 0.0 0.0
20 0.0 0.0 0.0 0.0 0.0
21 0.0 0.0 0.0 0.0 0.0
22 0.0 0.0 0.0 0.0 0.0
23 0.0 0.0 0.0 0.0 0.0
24 0.0 0.0 0.0 0.0 0.0
25 0.0 0.0 0.0 0.0 0.0
26 0.0 0.0 0.0 0.0 0.0
27 0.0 0.0 0.0 0.0 0.0
28 0.0 0.0 0.0 0.0 0.0
29 0.0 0.0 0.0 0.0 0.0
30 0.0 0.0 0.0 0.0 0.0
31 0.0 0.0 0.0 0.0 0.0
32 0.0 0.0 0.0 0.0 0.0
33 0.0 0.0 0.0 0.0 0.0
34 0.005 0.0 0.05 0.015811388300841896 0.009799999999999998
35 0.005 0.0 0.05 0.015811388300841896 0.009799999999999998
36 0.005 0.0 0.05 0.015811388300841896 0.009799999999999998
37 0.005 0.0 0.05 0.015811388300841896 0.009799999999999998
38 0.005 0.0 0.05 0.015811388300841896 0.009799999999999998
39 0.01 0.0 0.05 0.021081851067789197 0.013066666666666666
40 0.01 0.0 0.05 0.021081851067789197 0.013066666666666666
41 0.01 0.0 0.05 0.021081851067789197 0.013066666666666666
42 0.01 0.0 0.05 0.021081851067789197 0.013066666666666666
43 0.01 0.0 0.05 0.021081851067789197 0.013066666666666666
44 0.015000000000000003 0.0 0.05 0.0241522945769824 0.014969747270189078
45 0.015000000000000003 0.0 0.05 0.0241522945769824 0.014969747270189078
46 0.02 0.0 0.05 0.025819888974716113 0.01600333298618343
47 0.025 0.0 0.05 0.026352313834736497 0.016333333333333335
48 0.035 0.0 0.05 0.024152294576982397 0.014969747270189076
49 0.04 0.0 0.05 0.021081851067789197 0.013066666666666666
50 0.04 0.0 0.05 0.021081851067789197 0.013066666666666666
51 0.04 0.0 0.05 0.021081851067789197 0.013066666666666666
52 0.04 0.0 0.05 0.021081851067789197 0.013066666666666666
53 0.04 0.0 0.05 0.021081851067789197 0.013066666666666666
54 0.04 0.0 0.05 0.021081851067789197 0.013066666666666666
55 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
56 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
57 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
58 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
59 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
60 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
61 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
62 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
63 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
64 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
65 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
66 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
67 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
68 0.045 0.0 0.05 0.015811388300841896 0.009799999999999998
69 0.05 0.05 0.05 0.0 0.0
70 0.05500000000000001 0.05 0.1 0.015811388300841896 0.009799999999999998
71 0.05500000000000001 0.05 0.1 0.015811388300841896 0.009799999999999998
72 0.06000000000000001 0.05 0.1 0.021081851067789197 0.013066666666666666
73 0.065 0.05 0.1 0.024152294576982397 0.014969747270189076
74 0.075 0.05 0.1 0.026352313834736494 0.01633333333333333
75 0.08 0.05 0.15 0.03496029493900505 0.02166861529698861
76 0.08499999999999999 0.05 0.15 0.041163630117428227 0.0255134822746284
77 0.095 0.05 0.15 0.03689323936863109 0.022866666666666664
78 0.12 0.05 0.2 0.048304589153964794 0.029939494540378152
79 0.135 0.1 0.25 0.05296749527356901 0.032829593695661574
80 0.135 0.1 0.25 0.05296749527356901 0.032829593695661574
81 0.16 0.1 0.25 0.045946829173634074 0.028478139764465733
82 0.16499999999999998 0.1 0.25 0.047434164902525694 0.029400000000000003
83 0.175 0.1 0.3 0.06346477588219923 0.03933587562405483
84 0.195 0.1 0.3 0.06433419688539595 0.03987474834473009
85 0.215 0.1 0.3 0.07090682462060882 0.04394850522044078
86 0.24 0.15 0.35 0.06582805886043833 0.0408006535895362
87 0.275 0.15 0.35 0.06346477588219923 0.03933587562405483
88 0.28500000000000003 0.15 0.4 0.06687467549246293 0.04144935329880176
89 0.31 0.15 0.4 0.07378647873726218 0.04573333333333333
90 0.335 0.25 0.4 0.05296749527356902 0.032829593695661574
91 0.365 0.3 0.4 0.04116363011742825 0.02551348227462841
92 0.385 0.35 0.45 0.03374742788552766 0.020916872508947314
93 0.40499999999999997 0.35 0.45 0.036893239368631106 0.022866666666666674
94 0.42000000000000004 0.35 0.45 0.0421637021355784 0.02613333333333334
95 0.43 0.35 0.5 0.04830458915396481 0.02993949454037816
