time mean min max stdev confval
0 0.0 0.0 0.0 0.0 0.0
1 0.0 0.0 0.0 0.0 0.0
2 92.9090909090909 0.0 1022.0 308.14459415847443 153.29999999999998
3 139.63636363636363 0.0 1536.0 463.121425271445 230.4
4 0.0 0.0 0.0 0.0 0.0
5 46.54545454545455 0.0 512.0 154.37380842381498 76.8
6 139.45454545454547 0.0 1534.0 462.51840258228935 230.1
7 278.90909090909093 0.0 3068.0 925.0368051645787 460.2
8 92.9090909090909 0.0 1022.0 308.14459415847443 153.29999999999998
9 0.0 0.0 0.0 0.0 0.0
10 92.9090909090909 0.0 1022.0 308.14459415847443 153.29999999999998
11 0.0 0.0 0.0 0.0 0.0
12 139.63636363636363 0.0 1536.0 463.121425271445 230.4
13 139.27272727272728 0.0 1532.0 461.9153798931339 229.79999999999998
14 46.54545454545455 0.0 512.0 154.37380842381498 76.8
15 92.9090909090909 0.0 1022.0 308.14459415847443 153.29999999999998
16 139.45454545454547 0.0 1534.0 462.51840258228935 230.1
17 93.0909090909091 0.0 1024.0 308.74761684762996 153.6
18 46.54545454545455 0.0 512.0 154.37380842381498 76.8
19 87.45454545454545 0.0 962.0 290.05391348380857 144.29999999999998
20 134.1818181818182 0.0 1476.0 445.0307445967791 221.39999999999998
21 279.27272727272725 0.0 1536.0 621.3425932461239 309.1140372095709
22 221.45454545454547 0.0 1022.0 397.68715434028377 197.8468612336319
23 87.45454545454545 0.0 511.0 195.0360805781144 97.02922497886912
24 412.3636363636364 0.0 2554.0 784.7532443675875 390.40980968720544
25 965.2727272727273 0.0 3068.0 1209.85917287171 601.8973388377788
26 553.0909090909091 0.0 2048.0 661.8183216783069 329.25045785845157
27 784.4545454545455 0.0 2045.0 738.5178892398428 367.40801093607087
28 837.8181818181819 0.0 2048.0 658.5811746750461 327.6399975582957
29 974.8181818181819 0.0 3576.0 1033.2652919925083 514.0429923654245
30 790.0 0.0 3068.0 925.0067026784185 460.1850242022224
31 1347.8181818181818 0.0 3580.0 1172.4256751011399 583.2744088334409
32 1022.3636363636364 0.0 3068.0 970.2922521310032 482.71430059611856
33 691.5454545454545 0.0 2045.0 613.646700249641 305.28537878516227
34 1063.4545454545455 0.0 3580.0 952.8838715852381 474.05374062441484
35 1110.0 0.0 2557.0 680.2705344199468 338.4303177908268
36 1115.4545454545455 0.0 3580.0 1248.869597967407 621.3047802809824
